nome,preco,quantidade,tipo,data_scraping
Adesivo | ropz (Purpurinado) | Xangai 2024,0.73,51,Autographs,2024-12-16
Adesivo | Snax | Xangai 2024,0.09,186,Autographs,2024-12-17
Adesivo | Brollan | Xangai 2024,0.03,91,Autographs,2024-12-14
Adesivo | susp | Xangai 2024,0.05,53,Autographs,2024-12-16
Adesivo | m0NESY (Purpurinado) | Xangai 2024,1.06,65,Autographs,2024-12-17
Adesivo | Boombl4 (Holográfico) | Xangai 2024,1.51,6,Autographs,2024-12-16
Adesivo | broky (Purpurinado) | Xangai 2024,0.1,190,Autographs,2024-12-17
Adesivo | ztr | Xangai 2024,0.03,84,Autographs,2024-12-17
Adesivo | apEX | Xangai 2024,0.03,237,Autographs,2024-12-17
Adesivo | frozen | Xangai 2024,0.03,235,Autographs,2024-12-17
Adesivo | mezii | Xangai 2024,0.03,366,Autographs,2024-12-14
Adesivo | magixx | Xangai 2024,0.13,253,Autographs,2024-12-16
Adesivo | phzy | Xangai 2024,0.04,67,Autographs,2024-12-17
Adesivo | dexter (Purpurinado) | Xangai 2024,1.57,66,Autographs,2024-12-17
